Player,Age,Yrs,Games_Played,Minutes_Played,Field_Goals,Field_Goals_Attempted,3_Point_Goals,3_Point_Attempted,Free_Throws,Free_Throws_Attempted,Offensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,Points,Field_Goal_Percentage,3_Point_FG_Percentage,Free_Throw_Percentage,Minutes_Played_PG,Points_PG,Rebounds_PG,Assists_PG,All_Star
JonasValančiūnas,20,1,62,1482,204,366,0,0,146,185,121,372,45,17,78,94,188,554,0.557,,0.789,23.9,8.9,6,0.7,0
JonathonSimmons,26,1,55,813,122,242,18,47,69,92,16,96,58,24,5,53,103,331,0.504,0.383,0.75,14.8,6,1.7,1.1,0
JonnyFlynn,20,1,81,2339,397,952,77,215,223,270,24,191,356,82,2,233,98,1094,0.417,0.358,0.826,28.9,13.5,2.4,4.4,0
JordanAdams,20,1,30,248,35,86,10,25,14,23,9,28,16,16,7,14,24,94,0.407,0.4,0.609,8.3,3.1,0.9,0.5,0
JordanClarkson,22,1,59,1476,267,596,38,121,131,158,56,191,206,51,12,96,109,703,0.448,0.314,0.829,25,11.9,3.2,3.5,0
JordanCrawford,22,1,42,1027,192,500,33,128,73,84,31,105,117,39,3,83,63,490,0.384,0.258,0.869,24.5,11.7,2.5,2.8,0
JordanFarmar,20,1,72,1090,124,294,45,137,27,38,22,119,137,44,7,73,77,320,0.422,0.328,0.711,15.1,4.4,1.7,1.9,0
JordanHamilton,21,1,26,258,48,111,17,47,2,5,11,62,20,4,3,16,15,115,0.432,0.362,0.4,9.9,4.4,2.4,0.8,0
JordanHill,22,1,47,624,99,201,0,2,46,68,76,175,20,14,21,30,92,244,0.493,0,0.676,13.3,5.2,3.7,0.4,0
JordanMcRae,24,1,22,195,34,78,10,22,21,28,4,20,25,3,1,15,17,99,0.436,0.455,0.75,8.9,4.5,0.9,1.1,0
JordanMickey,21,1,16,57,8,22,0,0,5,10,6,13,1,0,11,1,5,21,0.364,,0.5,3.6,1.3,0.8,0.1,0
JordanWilliams,21,1,43,635,77,152,0,0,43,66,66,156,11,21,15,23,61,197,0.507,,0.652,14.8,4.6,3.6,0.3,0
JorgeGarbajosa,29,1,67,1909,222,529,66,193,57,78,48,330,125,78,15,64,90,567,0.42,0.342,0.731,28.5,8.5,4.9,1.9,0
JorgeGutiérrez,25,1,15,244,25,54,3,12,9,12,3,22,30,10,1,14,37,62,0.463,0.25,0.75,16.3,4.1,1.5,2,0
