Player,Age,Yrs,Games_Played,Minutes_Played,Field_Goals,Field_Goals_Attempted,3_Point_Goals,3_Point_Attempted,Free_Throws,Free_Throws_Attempted,Offensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,Points,Field_Goal_Percentage,3_Point_FG_Percentage,Free_Throw_Percentage,Minutes_Played_PG,Points_PG,Rebounds_PG,Assists_PG,All_Star
JoshAkognon,26,1,3,9,2,4,1,2,0,0,0,1,1,0,0,0,3,5,0.5,0.5,,3,1.7,0.3,0.3,0
JoshBoone,22,1,61,669,99,171,0,0,56,103,64,176,10,11,21,33,94,254,0.579,,0.544,11,4.2,2.9,0.2,0
JoshChildress,21,1,80,2376,302,642,13,56,190,231,195,482,151,74,35,106,184,807,0.47,0.232,0.823,29.7,10.1,6,1.9,0
JoshHarrellson,22,1,37,540,63,149,20,59,16,26,47,144,11,23,20,20,48,162,0.423,0.339,0.615,14.6,4.4,3.9,0.3,0
JoshHuestis,24,1,5,55,5,12,4,6,0,4,2,10,0,1,2,3,3,14,0.417,0.667,0,11,2.8,2,0,0
JoshMcRoberts,20,1,8,28,6,10,0,1,0,0,2,10,2,1,0,2,1,12,0.6,0,,3.5,1.5,1.3,0.3,0
JoshPowell,23,1,37,429,37,81,0,0,36,45,28,81,9,7,4,22,52,110,0.457,,0.8,11.6,3,2.2,0.2,0
JoshRichardson,22,1,52,1107,123,272,53,115,42,63,21,107,73,36,25,35,107,341,0.452,0.461,0.667,21.3,6.6,2.1,1.4,0
JoshSelby,20,1,28,237,25,72,2,15,11,14,2,15,30,7,0,29,17,63,0.347,0.133,0.786,8.5,2.3,0.5,1.1,0
JoshSmith,19,1,74,2050,274,602,4,23,163,237,147,457,127,59,144,135,157,715,0.455,0.174,0.688,27.7,9.7,6.2,1.7,0
JrueHoliday,19,1,73,1767,230,520,62,159,65,86,56,191,280,79,18,156,153,587,0.442,0.39,0.756,24.2,8,2.6,3.8,1
JuanCarlosNavarro,27,1,82,2117,308,766,156,432,124,146,34,210,177,48,1,134,94,896,0.402,0.361,0.849,25.8,10.9,2.6,2.2,0
JulianWright,20,1,57,640,90,169,10,24,33,52,33,117,40,29,12,34,43,223,0.533,0.417,0.635,11.2,3.9,2.1,0.7,0
JuliusHodge,22,1,14,33,5,13,0,0,3,8,5,7,6,2,0,8,7,13,0.385,,0.375,2.4,0.9,0.5,0.4,0
JuliusRandle,20,1,1,14,1,3,0,0,0,2,0,0,0,0,0,1,1,2,0.333,,0,14,2,0,0,0
JulyanStone,23,1,22,179,13,31,2,11,8,11,5,25,37,8,6,11,18,36,0.419,0.182,0.727,8.1,1.6,1.1,1.7,0
JustinAnderson,22,1,55,647,71,175,22,83,44,55,18,132,29,19,25,24,45,208,0.406,0.265,0.8,11.8,3.8,2.4,0.5,0
JustinDentmon,26,1,6,91,10,28,2,14,4,6,0,8,10,2,0,7,10,26,0.357,0.143,0.667,15.2,4.3,1.3,1.7,0
JustinHamilton,23,1,8,72,9,20,3,9,5,5,4,7,0,5,0,4,8,26,0.45,0.333,1,9,3.3,0.9,0,0
JustinHarper,22,1,14,84,9,31,2,13,0,1,3,12,2,2,3,6,5,20,0.29,0.154,0,6,1.4,0.9,0.1,0
JustinHoliday,23,1,9,142,16,48,4,16,6,8,0,14,15,3,6,9,7,42,0.333,0.25,0.75,15.8,4.7,1.6,1.7,0
JustinReed,23,1,23,121,15,29,0,3,11,15,8,16,10,3,1,5,12,41,0.517,0,0.733,5.3,1.8,0.7,0.4,0
JustinWilliams,22,1,26,333,54,88,0,1,23,63,51,115,2,5,16,15,51,131,0.614,0,0.365,12.8,5,4.4,0.1,0
JustiseWinslow,19,1,78,2232,195,462,32,116,80,117,81,403,117,68,26,95,184,502,0.422,0.276,0.684,28.6,6.4,5.2,1.5,0
JusufNurkić,20,1,62,1103,171,383,0,2,84,132,125,382,50,52,68,86,207,426,0.446,0,0.636,17.8,6.9,6.2,0.8,0
K.J.McDaniels,21,1,62,1352,172,434,43,150,100,133,65,200,72,44,70,105,126,487,0.396,0.287,0.752,21.8,7.9,3.2,1.2,0
KalinLucas,25,1,1,6,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,,,6,0,0,0,0
Karl-AnthonyTowns,20,1,82,2627,625,1153,30,88,223,275,229,858,161,58,138,183,245,1503,0.542,0.341,0.811,32,18.3,10.5,2,1
KasibPowell,26,1,11,304,35,95,8,33,6,9,8,44,18,9,2,5,18,84,0.368,0.242,0.667,27.6,7.6,4,1.6,0
KawhiLeonard,20,1,64,1534,199,404,41,109,68,88,104,327,70,85,24,44,88,507,0.493,0.376,0.773,24,7.9,5.1,1.1,1
KeithAppling,23,1,5,27,2,8,0,3,2,2,0,1,1,1,0,3,5,6,0.25,0,1,5.4,1.2,0.2,0.2,0
KeithBenson,23,1,3,9,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,,,3,0,1,0,0
KeithLangford,24,1,2,10,1,4,0,0,0,0,0,2,0,0,0,0,1,2,0.25,,,5,1,1,0,0
KelennaAzubuike,23,1,41,669,98,220,34,79,61,78,26,94,28,22,10,39,49,291,0.445,0.43,0.782,16.3,7.1,2.3,0.7,0
KellyOlynyk,22,1,70,1400,234,502,40,114,99,122,140,365,109,35,27,106,227,607,0.466,0.351,0.811,20,8.7,5.2,1.6,0
KellyOubre,20,1,63,671,90,211,25,79,31,49,25,133,13,22,7,34,100,236,0.427,0.316,0.633,10.7,3.7,2.1,0.2,0
KembaWalker,21,1,66,1792,281,767,69,226,168,213,30,234,289,60,20,119,79,799,0.366,0.305,0.789,27.2,12.1,3.5,4.4,1
KendallMarshall,21,1,48,702,56,151,23,73,8,14,4,42,143,22,4,57,48,143,0.371,0.315,0.571,14.6,3,0.9,3,0
KennethFaried,22,1,46,1037,181,309,0,0,109,164,142,352,36,34,47,54,116,471,0.586,,0.665,22.5,10.2,7.7,0.8,0
KentBazemore,23,1,61,267,43,116,10,34,27,44,5,22,22,17,4,18,27,123,0.371,0.294,0.614,4.4,2,0.4,0.4,0
KentaviousCaldwell-Pope,20,1,80,1583,182,460,59,185,47,61,38,156,55,75,12,28,145,470,0.396,0.319,0.77,19.8,5.9,2,0.7,0
KevinBurleson,26,1,39,340,22,88,10,54,16,17,4,26,48,26,2,25,63,70,0.25,0.185,0.941,8.7,1.8,0.7,1.2,0
KevinDurant,19,1,80,2768,587,1366,59,205,391,448,70,348,192,78,75,232,122,1624,0.43,0.288,0.873,34.6,20.3,4.4,2.4,1
KevinJones,23,1,32,334,43,107,0,0,9,15,38,78,10,9,5,8,25,95,0.402,,0.6,10.4,3,2.4,0.3,0
KevinLove,20,1,81,2048,316,688,2,19,265,336,274,734,84,35,50,118,205,899,0.459,0.105,0.789,25.3,11.1,9.1,1,1
KevinMartin,21,1,45,455,45,117,5,25,36,55,29,58,22,16,3,24,35,131,0.385,0.2,0.655,10.1,2.9,1.3,0.5,0
KevinMurphy,22,1,17,52,7,28,1,5,0,0,0,4,2,1,0,3,4,15,0.25,0.2,,3.1,0.9,0.2,0.1,0
KevinSéraphin,21,1,58,635,66,147,0,0,22,31,80,152,10,17,28,42,126,154,0.449,,0.71,10.9,2.7,2.6,0.2,0
KevinnPinkney,23,1,6,100,12,27,1,2,6,9,7,15,5,3,3,4,12,31,0.444,0.5,0.667,16.7,5.2,2.5,0.8,0
KevonLooney,19,1,5,21,4,7,1,2,0,0,4,10,0,0,0,1,2,9,0.571,0.5,,4.2,1.8,2,0,0
KhrisMiddleton,21,1,27,475,62,141,14,45,27,32,4,50,28,15,4,11,53,165,0.44,0.311,0.844,17.6,6.1,1.9,1,1
KimEnglish,24,1,41,407,42,112,14,50,21,29,8,37,26,16,3,19,46,119,0.375,0.28,0.724,9.9,2.9,0.9,0.6,0
KirkSnyder,21,1,68,906,122,328,30,85,64,96,50,121,36,26,19,58,116,338,0.372,0.353,0.667,13.3,5,1.8,0.5,0
KlayThompson,21,1,66,1608,318,718,111,268,79,91,24,161,133,49,20,103,155,826,0.443,0.414,0.868,24.4,12.5,2.4,2,1
KostaKoufos,19,1,48,565,94,185,0,0,36,51,50,138,20,12,31,26,70,224,0.508,,0.706,11.8,4.7,2.9,0.4,0
KostaPerović,22,1,7,38,3,10,0,0,4,6,6,13,1,0,2,1,6,10,0.3,,0.667,5.4,1.4,1.9,0.1,0
KostasPapanikolaou,24,1,43,795,69,197,31,106,13,18,39,118,85,29,13,55,71,182,0.35,0.292,0.722,18.5,4.2,2.7,2,0
KrisHumphries,19,1,67,873,116,287,2,6,44,101,73,197,43,25,18,52,96,278,0.404,0.333,0.436,13,4.1,2.9,0.6,0
KrisJoseph,24,1,10,54,2,14,0,3,5,8,1,7,1,3,0,2,3,9,0.143,0,0.625,5.4,0.9,0.7,0.1,0
KristapsPorziņģis,20,1,72,2047,373,886,81,243,201,240,132,526,94,53,134,121,205,1028,0.421,0.333,0.838,28.4,14.3,7.3,1.3,1
KyleAnderson,21,1,33,358,31,89,3,11,9,14,5,72,28,15,7,10,28,74,0.348,0.273,0.643,10.8,2.2,2.2,0.8,0
KyleLowry,20,1,10,175,14,38,3,8,25,28,12,31,32,14,1,12,20,56,0.368,0.375,0.893,17.5,5.6,3.1,3.2,1
KyleO'Quinn,22,1,57,638,101,197,0,1,30,45,65,209,52,11,26,37,107,232,0.513,0,0.667,11.2,4.1,3.7,0.9,0
KyleSingler,24,1,82,2293,275,642,70,200,100,124,109,330,77,57,37,98,217,720,0.428,0.35,0.806,28,8.8,4,0.9,0
KyleWeaver,22,1,56,1166,113,246,32,93,41,58,31,130,101,47,25,69,81,299,0.459,0.344,0.707,20.8,5.3,2.3,1.8,0
KyrieIrving,19,1,51,1558,350,747,73,183,171,196,44,191,275,54,20,160,110,944,0.469,0.399,0.872,30.5,18.5,3.7,5.4,1
KyryloFesenko,21,1,9,70,6,16,0,0,2,4,14,25,2,0,3,8,19,14,0.375,,0.5,7.8,1.6,2.8,0.2,0
LamarPatterson,24,1,35,395,28,80,12,49,16,22,4,50,39,9,2,23,45,84,0.35,0.245,0.727,11.3,2.4,1.4,1.1,0
LaMarcusAldridge,21,1,63,1392,241,479,0,2,83,115,144,312,24,22,73,43,186,565,0.503,0,0.722,22.1,9,5,0.4,1
LanceAllred,26,1,3,10,1,4,0,0,1,2,0,1,0,0,0,0,1,3,0.25,,0.5,3.3,1,0.3,0,0
LanceStephenson,20,1,12,115,13,39,0,5,11,14,1,18,21,4,0,16,14,37,0.333,0,0.786,9.6,3.1,1.5,1.8,0
LanceThomas,23,1,42,630,57,126,0,1,52,62,49,126,12,10,7,24,78,166,0.452,0,0.839,15,4,3,0.3,0
LandryFields,22,1,82,2541,299,602,86,219,113,147,105,521,155,80,17,107,114,797,0.497,0.393,0.769,31,9.7,6.4,1.9,0
LangstonGalloway,23,1,45,1457,204,511,62,176,63,78,37,190,150,52,12,61,129,533,0.399,0.352,0.808,32.4,11.8,4.2,3.3,0
LarryDrew,24,1,12,219,20,58,4,26,2,3,1,15,45,6,0,25,13,46,0.345,0.154,0.667,18.3,3.8,1.3,3.8,0
LarryNance,23,1,63,1266,158,300,1,10,32,47,101,312,44,54,23,41,124,349,0.527,0.1,0.681,20.1,5.5,5,0.7,1
LarryOwens,28,1,12,143,15,32,6,13,4,9,1,15,8,9,5,5,18,40,0.469,0.462,0.444,11.9,3.3,1.3,0.7,0
LarrySanders,22,1,60,872,116,268,0,0,28,50,59,178,16,22,72,38,117,260,0.433,,0.56,14.5,4.3,3,0.3,0
LavoyAllen,22,1,41,624,79,167,0,0,11,14,47,171,34,13,18,20,73,169,0.473,,0.786,15.2,4.1,4.2,0.8,0
LawrenceRoberts,23,1,33,181,20,44,0,2,11,23,26,49,5,8,2,5,30,51,0.455,0,0.478,5.5,1.5,1.5,0.2,0
LazarHayward,24,1,42,419,55,154,17,60,33,42,23,70,28,12,7,19,44,160,0.357,0.283,0.786,10,3.8,1.7,0.7,0
LeonPowe,23,1,63,720,79,177,0,2,106,144,97,215,10,14,22,47,104,264,0.446,0,0.736,11.4,4.2,3.4,0.2,0
LesterHudson,25,1,25,131,21,53,5,16,11,13,7,18,13,8,3,14,12,58,0.396,0.313,0.846,5.2,2.3,0.7,0.5,0
LinasKleiza,21,1,61,519,77,173,2,13,57,81,38,116,15,10,13,16,87,213,0.445,0.154,0.704,8.5,3.5,1.9,0.2,0
LionelChalmers,24,1,36,433,42,125,12,49,15,24,4,31,51,13,0,24,30,111,0.336,0.245,0.625,12,3.1,0.9,1.4,0
LorenzoBrown,23,1,26,224,26,86,3,30,9,13,8,28,41,13,3,16,19,64,0.302,0.1,0.692,8.6,2.5,1.1,1.6,0
LouAmundson,24,1,11,89,6,15,0,0,4,10,13,28,1,1,8,5,15,16,0.4,,0.4,8.1,1.5,2.5,0.1,0
LouWilliams,19,1,30,145,23,52,2,9,8,13,3,19,10,5,0,13,13,56,0.442,0.222,0.615,4.8,1.9,0.6,0.3,0
LucMbahaMoute,22,1,82,2114,227,491,0,4,140,192,189,487,87,87,45,100,204,594,0.462,0,0.729,25.8,7.2,5.9,1.1,0
LucasNogueira,22,1,6,23,2,8,0,0,2,4,2,11,1,2,0,2,6,6,0.25,,0.5,3.8,1,1.8,0.2,0
LuigiDatome,26,1,34,238,34,97,7,39,8,10,14,46,11,6,1,11,20,83,0.351,0.179,0.8,7,2.4,1.4,0.3,0
LuisFlores,23,1,16,77,14,29,5,10,2,2,1,3,11,2,0,11,9,35,0.483,0.5,1,4.8,2.2,0.2,0.7,0
LuisMontero,22,1,12,42,5,19,1,9,3,4,0,4,1,0,0,4,1,14,0.263,0.111,0.75,3.5,1.2,0.3,0.1,0
LuisScola,27,1,82,2024,345,670,0,3,157,235,174,525,106,60,19,105,235,847,0.515,0,0.668,24.7,10.3,6.4,1.3,0
LukeBabbitt,21,1,24,137,15,55,3,16,3,9,6,30,6,2,2,8,15,36,0.273,0.188,0.333,5.7,1.5,1.3,0.3,0
LukeHarangody,23,1,49,640,79,206,16,66,19,26,40,143,30,15,17,16,80,193,0.383,0.242,0.731,13.1,3.9,2.9,0.6,0
LukeJackson,23,1,10,43,10,27,4,6,5,6,2,6,3,0,0,2,4,29,0.37,0.667,0.833,4.3,2.9,0.6,0.3,1
LukeSchenscher,23,1,20,149,16,26,0,0,4,13,8,29,7,1,3,5,21,36,0.615,,0.308,7.5,1.8,1.5,0.4,0
LukeZeller,25,1,16,58,9,26,1,5,0,0,1,10,3,0,0,0,5,19,0.346,0.2,,3.6,1.2,0.6,0.2,0
LuolDeng,19,1,61,1663,280,645,31,117,120,162,92,322,135,48,27,118,98,711,0.434,0.265,0.741,27.3,11.7,5.3,2.2,1
LutherHead,23,1,80,2310,254,630,113,313,86,123,33,266,215,89,9,119,169,707,0.403,0.361,0.699,28.9,8.8,3.3,2.7,0
LynnGreer,27,1,41,432,61,141,18,52,27,32,2,27,53,17,1,18,32,167,0.433,0.346,0.844,10.5,4.1,0.7,1.3,0
MaalikWayns,21,1,27,202,26,88,7,31,17,19,1,7,27,6,0,15,26,76,0.295,0.226,0.895,7.5,2.8,0.3,1,0
MalcolmLee,21,1,19,243,23,59,2,10,14,17,9,26,31,8,4,17,22,62,0.39,0.2,0.824,12.8,3.3,1.4,1.6,0
MalcolmThomas,23,1,3,15,0,3,0,0,1,2,1,3,1,1,1,0,0,1,0,,0.5,5,0.3,1,0.3,0
MalikHairston,21,1,15,155,24,49,0,1,2,7,11,28,13,6,7,12,19,50,0.49,0,0.286,10.3,3.3,1.9,0.9,0
MannyHarris,21,1,54,933,108,289,34,92,71,93,36,140,85,31,7,63,65,321,0.374,0.37,0.763,17.3,5.9,2.6,1.6,0
MarcGasol,24,1,82,2521,350,661,0,1,275,375,201,605,143,63,90,164,265,975,0.53,0,0.733,30.7,11.9,7.4,1.7,1
MarceloHuertas,32,1,53,869,97,230,16,61,27,29,18,90,182,26,7,80,76,237,0.422,0.262,0.931,16.4,4.5,1.7,3.4,0
MarcinGortat,23,1,6,41,8,17,0,0,2,3,8,16,2,1,1,2,4,18,0.471,,0.667,6.8,3,2.7,0.3,0
MarcoBelinelli,21,1,33,241,36,93,16,41,7,9,3,14,15,5,0,12,15,95,0.387,0.39,0.778,7.3,2.9,0.4,0.5,0
MarcusCousin,24,1,4,18,2,3,0,0,0,0,0,3,0,0,1,1,1,4,0.667,,,4.5,1,0.8,0,0
MarcusLandry,24,1,18,111,16,43,9,28,3,5,5,19,0,1,2,6,14,44,0.372,0.321,0.6,6.2,2.4,1.1,0,0
MarcusMorris,22,1,17,126,16,54,2,17,6,8,5,16,3,2,2,4,12,40,0.296,0.118,0.75,7.4,2.4,0.9,0.2,0
MarcusSmart,20,1,67,1808,175,477,91,272,82,127,61,222,208,99,18,90,176,523,0.367,0.335,0.646,27,7.8,3.3,3.1,0
MarcusThornton,22,1,73,1872,398,883,117,313,144,177,72,211,114,58,11,76,127,1057,0.451,0.374,0.814,25.6,14.5,2.9,1.6,0
MarcusVinicius,22,1,13,103,7,15,3,7,5,7,2,11,5,2,1,6,10,22,0.467,0.429,0.714,7.9,1.7,0.8,0.4,0
MarcusWilliams,21,1,11,36,5,20,0,0,0,0,4,12,3,1,1,0,3,10,0.25,,,3.3,0.9,1.1,0.3,0
MarcusWilliams,21,1,79,1315,208,526,46,163,72,85,29,163,260,29,2,142,96,534,0.395,0.282,0.847,16.6,6.8,2.1,3.3,0
MardyCollins,22,1,52,777,87,228,13,47,48,82,28,104,83,32,3,57,75,235,0.382,0.277,0.585,14.9,4.5,2,1.6,0
MarioChalmers,22,1,82,2626,278,662,114,311,148,193,37,228,403,160,8,165,240,818,0.42,0.367,0.767,32,10,2.8,4.9,0
MarioHezonja,20,1,79,1413,181,418,67,192,49,54,28,176,109,39,17,97,124,478,0.433,0.349,0.907,17.9,6.1,2.2,1.4,0
MarioKasun,24,1,45,356,47,98,0,1,24,43,52,128,8,8,13,26,86,118,0.48,0,0.558,7.9,2.6,2.8,0.2,0
MarioWest,23,1,64,269,21,49,0,4,17,26,26,48,13,12,4,9,61,59,0.429,0,0.654,4.2,0.9,0.8,0.2,0
MarkJones,29,1,10,116,9,31,0,4,5,10,6,13,6,5,2,3,16,23,0.29,0,0.5,11.6,2.3,1.3,0.6,0
MarkelBrown,23,1,47,781,76,210,17,64,47,57,16,107,39,31,12,27,57,216,0.362,0.266,0.825,16.6,4.6,2.3,0.8,0
MarkieffMorris,22,1,63,1227,174,436,43,124,76,106,69,279,65,41,42,70,179,467,0.399,0.347,0.717,19.5,7.4,4.4,1,0
MarquisTeague,19,1,48,392,43,113,4,23,9,16,3,44,63,9,7,35,47,99,0.381,0.174,0.563,8.2,2.1,0.9,1.3,0
MarreeseSpeights,21,1,79,1263,252,502,2,8,102,132,123,293,30,27,56,46,181,608,0.502,0.25,0.773,16,7.7,3.7,0.4,0
MarShonBrooks,23,1,56,1648,274,640,47,150,113,148,70,200,131,52,15,118,116,708,0.428,0.313,0.764,29.4,12.6,3.6,2.3,0
MartellWebster,19,1,61,1070,139,348,65,182,61,71,29,130,34,21,14,43,90,404,0.399,0.357,0.859,17.5,6.6,2.1,0.6,0
MartynasAndriuškevičius,19,1,6,9,0,1,0,0,0,0,1,4,0,2,0,0,1,0,0,,,1.5,0,0.7,0,0
MarvinWilliams,19,1,79,1952,235,531,13,53,189,253,122,383,63,48,24,83,227,672,0.443,0.245,0.747,24.7,8.5,4.8,0.8,0
MasonPlumlee,23,1,70,1275,199,302,0,3,122,195,99,308,60,49,55,77,171,520,0.659,0,0.626,18.2,7.4,4.4,0.9,0
MattBonner,24,1,82,1553,247,463,39,92,56,71,108,285,48,39,19,40,220,589,0.533,0.424,0.789,18.9,7.2,3.5,0.6,0
MattFreije,23,1,23,441,37,127,14,54,5,8,16,61,20,13,2,17,40,93,0.291,0.259,0.625,19.2,4,2.7,0.9,0
MattWalsh,23,1,2,3,1,1,0,0,0,2,0,0,0,0,0,1,0,2,1,,0,1.5,1,0,0,0
MatthewDellavedova,23,1,72,1271,122,296,57,155,38,48,29,123,187,33,5,60,121,339,0.412,0.368,0.792,17.7,4.7,1.7,2.6,0
MauriceAger,22,1,32,214,22,70,5,15,20,33,1,21,7,4,3,15,27,69,0.314,0.333,0.606,6.7,2.2,0.7,0.2,0
MauriceBaker,25,1,5,19,0,1,0,0,0,0,1,2,1,1,0,1,3,0,0,,,3.8,0,0.4,0.2,0
MauriceHarkless,19,1,76,1974,260,564,32,117,73,128,122,335,50,88,62,69,144,625,0.461,0.274,0.57,26,8.2,4.4,0.7,0
MelvinSanders,25,1,16,113,16,33,2,3,7,10,4,23,3,5,0,8,20,41,0.485,0.667,0.7,7.1,2.6,1.4,0.2,0
MeyersLeonard,20,1,69,1206,151,277,3,7,72,89,80,255,33,11,38,49,168,377,0.545,0.429,0.809,17.5,5.5,3.7,0.5,0
MichaelBeasley,20,1,81,2009,452,957,33,81,186,241,110,439,83,41,37,121,184,1123,0.472,0.407,0.772,24.8,13.9,5.4,1,0
MichaelCarter-Williams,22,1,70,2414,427,1054,55,208,258,367,101,437,441,130,43,247,213,1167,0.405,0.264,0.703,34.5,16.7,6.2,6.3,0
MichaelKidd-Gilchrist,19,1,78,2025,281,613,2,9,140,187,131,455,117,54,70,101,164,704,0.458,0.222,0.749,26,9,5.8,1.5,0
MickaëlGelabale,23,1,70,1239,122,264,11,47,66,82,59,173,56,24,22,49,108,321,0.462,0.234,0.805,17.7,4.6,2.5,0.8,0
MickellGladness,25,1,26,252,25,59,0,0,6,12,14,58,5,4,20,7,32,56,0.424,,0.5,9.7,2.2,2.2,0.2,0
MikeConley,20,1,53,1381,189,442,30,91,90,123,21,139,222,44,2,89,85,498,0.428,0.33,0.732,26.1,9.4,2.6,4.2,0
MikeHall,22,1,2,13,1,4,0,0,0,0,1,2,1,0,0,0,1,2,0.25,,,6.5,1,1,0.5,0
MikeHarris,24,1,17,159,27,54,0,2,8,13,24,54,3,6,3,9,16,62,0.5,0,0.615,9.4,3.6,3.2,0.2,0
MikeMuscala,22,1,20,215,31,73,0,3,14,14,17,52,7,3,10,12,29,76,0.425,0,1,10.8,3.8,2.6,0.4,0
MikeScott,24,1,40,376,70,147,0,1,43,56,39,110,12,4,2,21,32,183,0.476,0,0.768,9.4,4.6,2.8,0.3,0
MikeTaylor,23,1,51,771,110,267,13,40,56,81,22,87,106,36,0,73,84,289,0.412,0.325,0.691,15.1,5.7,1.7,2.1,0
MileIlić,22,1,5,6,0,3,0,0,0,0,0,1,0,0,0,3,1,0,0,,,1.2,0,0.2,0,0
MilesPlumlee,24,1,14,55,5,21,0,0,3,4,12,22,2,0,3,3,5,13,0.238,,0.75,3.9,0.9,1.6,0.1,0
MiroslavRaduljica,26,1,48,465,68,126,0,0,45,55,54,108,23,7,13,28,84,181,0.54,,0.818,9.7,3.8,2.3,0.5,0
MirzaTeletović,27,1,53,499,71,185,37,108,9,11,33,95,23,13,8,20,53,188,0.384,0.343,0.818,9.4,3.5,1.8,0.4,0
MitchMcGary,22,1,32,485,88,165,0,2,25,40,53,165,14,16,16,31,72,201,0.533,0,0.625,15.2,6.3,5.2,0.4,0
MontaEllis,20,1,49,886,132,318,28,82,42,59,22,105,78,32,11,58,69,334,0.415,0.341,0.712,18.1,6.8,2.1,1.6,0
MontrezlHarrell,22,1,39,379,58,90,0,1,24,46,25,65,17,11,11,17,48,140,0.644,0,0.522,9.7,3.6,1.7,0.4,0
MorrisAlmond,22,1,9,39,4,15,1,4,4,6,0,2,3,1,0,2,5,13,0.267,0.25,0.667,4.3,1.4,0.2,0.3,0
MouhamedSene,20,1,28,169,18,49,0,0,17,29,16,45,0,3,12,11,33,53,0.367,,0.586,6,1.9,1.6,0,0
MustafaShakur,26,1,22,159,21,59,1,10,8,15,7,22,25,5,3,18,15,51,0.356,0.1,0.533,7.2,2.3,1,1.1,0
MychelThompson,23,1,5,95,7,24,4,11,0,0,0,5,7,2,1,5,8,18,0.292,0.364,,19,3.6,1,1.4,0
MylesTurner,19,1,60,1367,264,530,3,14,88,121,68,332,41,25,86,67,158,619,0.498,0.214,0.727,22.8,10.3,5.5,0.7,0
NandoDeColo,25,1,72,920,105,241,31,82,35,44,23,138,138,41,6,81,87,276,0.436,0.378,0.795,12.8,3.8,1.9,1.9,0
NateRobinson,21,1,72,1544,230,565,58,146,152,202,56,167,147,59,1,114,201,670,0.407,0.397,0.752,21.4,9.3,2.3,2,0
NateWolters,22,1,58,1309,170,389,18,62,59,90,33,149,187,35,15,57,67,417,0.437,0.29,0.656,22.6,7.2,2.6,3.2,0
NathanJawai,22,1,6,19,1,4,0,0,0,0,1,2,0,0,0,2,3,2,0.25,,,3.2,0.3,0.3,0,0
NemanjaBjelica,27,1,60,1075,110,235,48,125,40,55,49,210,83,26,21,47,154,308,0.468,0.384,0.727,17.9,5.1,3.5,1.4,0
NemanjaNedović,22,1,24,142,8,39,3,18,7,8,3,15,13,0,1,13,13,26,0.205,0.167,0.875,5.9,1.1,0.6,0.5,0
NenadKrstić,21,1,75,1965,281,570,0,2,185,255,161,401,77,32,63,112,280,747,0.493,0,0.725,26.2,10,5.3,1,0
NerlensNoel,20,1,75,2311,302,653,0,0,140,230,185,611,128,133,142,146,208,744,0.462,,0.609,30.8,9.9,8.1,1.7,0
NickCalathes,24,1,71,1173,142,311,19,61,44,72,23,137,207,66,8,101,117,347,0.457,0.311,0.611,16.5,4.9,1.9,2.9,0
NickCollison,24,1,82,1396,190,354,0,3,83,118,156,376,32,34,50,62,252,463,0.537,0,0.703,17,5.6,4.6,0.4,0
NickFazekas,22,1,26,269,46,82,0,2,15,22,34,89,11,8,11,13,25,107,0.561,0,0.682,10.3,4.1,3.4,0.4,0
NickJohnson,22,1,28,262,26,75,5,21,17,25,13,39,11,7,3,19,34,74,0.347,0.238,0.68,9.4,2.6,1.4,0.4,0
NickYoung,22,1,75,1158,210,478,40,100,101,124,23,115,63,35,7,94,130,561,0.439,0.4,0.815,15.4,7.5,1.5,0.8,0
NicolasBatum,20,1,79,1454,161,361,62,168,42,52,84,220,74,50,40,50,139,426,0.446,0.369,0.808,18.4,5.4,2.8,0.9,0
NikStauskas,21,1,73,1127,108,296,48,149,55,64,11,88,67,20,17,40,92,319,0.365,0.322,0.859,15.4,4.4,1.2,0.9,0
NikolaJokić,20,1,80,1733,307,600,28,84,154,190,181,560,189,79,50,104,208,796,0.512,0.333,0.811,21.7,10,7,2.4,1
NikolaMirotić,23,1,82,1654,253,624,99,313,228,284,63,404,97,54,54,89,172,833,0.405,0.316,0.803,20.2,10.2,4.9,1.2,0
NikolaPeković,25,1,65,887,136,263,0,0,87,114,90,193,27,18,35,91,181,359,0.517,,0.763,13.6,5.5,3,0.4,0
NikolaVučević,21,1,51,812,131,291,3,8,18,34,88,246,31,20,34,33,111,283,0.45,0.375,0.529,15.9,5.5,4.8,0.6,1
NoahVonleh,19,1,25,259,30,76,5,13,18,26,28,86,4,4,9,11,20,83,0.395,0.385,0.692,10.4,3.3,3.4,0.2,0
NoelFelix,24,1,12,82,6,25,1,3,5,8,3,13,2,2,3,8,13,18,0.24,0.333,0.625,6.8,1.5,1.1,0.2,0
NolanSmith,23,1,44,541,67,180,13,45,20,28,17,56,62,18,3,42,55,167,0.372,0.289,0.714,12.3,3.8,1.3,1.4,0
NormanPowell,22,1,49,725,97,229,36,89,43,53,16,111,47,29,10,32,59,273,0.424,0.404,0.811,14.8,5.6,2.3,1,0
NorrisCole,23,1,65,1260,177,450,21,76,66,85,21,91,133,44,2,105,124,441,0.393,0.276,0.776,19.4,6.8,1.4,2,0
O.J.Mayo,21,1,82,3120,562,1283,145,378,247,281,56,308,262,91,13,226,204,1516,0.438,0.384,0.879,38,18.5,3.8,3.2,0
